,Data_accident,Hora_Avis,Via,Data_publicacio,Hora_publicacio,Text_Complet,URL
3," Dimecres, 24 de desembre de 2014", 01.06 ," N-260, al punt quilomètric 113,5 a Ripoll (Ripollès) ",24/12/2014,08:53,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Dimecres, 24 de desembre de 2014<br/></strong><strong>HORA D'AVÍS: 01.06 h <br/></strong><strong>VIA: N-260, al punt quilomètric 113,5 a Ripoll (Ripollès) </strong></p>
<p style=""text-align: left;"">El Servei Català de Trànsit (SCT) informa que aquesta matinada s’ha registrat un accident mortal de trànsit al punt quilomètric 113,5 de la N-260 a Ripoll (Ripollès) en sentit Sant Joan de les Abadesses.</p>
<p style=""text-align: left;"">Els Mossos d’Esquadra han rebut l’avís de l’accident a les 01.06 h. Per causes que encara s’estan investigant,  un turisme ha sortit de la via i s’ha precipitat per un desnivell. A causa del xoc, el conductor del turisme, Pedro M. N., de 25 anys i veí de Ripoll ha mort i l’acompanyant ha resultat ferit menys greu i ha estat traslladat a l’Hospital Dr. Josep Trueta de Girona.</p>
<p style=""text-align: left;"">En la incidència han treballat quatre patrulles dels Mossos d’Esquadra, dues dotacions dels Bombers de la Generalitat i dues ambulàncies del sistema d’Emergències Mèdiques.</p>
<p style=""text-align: left;"">24 de desembre<br/>08.50 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20141224_acc_N260_01
4," Dilluns, 22 de desembre de 2014", 19.05 ," N-340, al punt quilomètric 1.230 a Cervelló (Baix Llobregat) en sentit Tarragona ",22/12/2014,21:17,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Dilluns, 22 de desembre de 2014</strong></p>
<p style=""text-align: left;""><strong>HORA D'AVÍS: 19.05 h </strong></p>
<p style=""text-align: left;""><strong>VIA: N-340, al punt quilomètric 1.230 a Cervelló (Baix Llobregat) en sentit Tarragona </strong></p>
<p style=""text-align: left;"">El Servei Català de Trànsit (SCT) informa que aquesta tarda s’ha registrat un accident mortal de trànsit al punt quilomètric 1.230 de la N-340 a Cervelló (Baix Llobregat) en sentit Tarragona.</p>
<p style=""text-align: left;"">Els Mossos d’Esquadra han rebut l’avís de l’accident a les 19.05 h. Per causes que encara s’estan investigant,  un turisme ha encalçat a un altre turisme avariat que estava aturat a la via. A conseqüència d’això, ha mort una persona, la passatgera davantera del vehicle avariat, Concepción G.D., de 72 anys, nacionalitat espanyola i veïna de Barcelona. A més, segons el Sistema d’Emergències Mèdiques (SEM), una persona ha resultat ferida greu i l’han traslladat a l’hospital Moisès Broggi i una altra persona ha resultat ferida lleu i l’han traslladat a l’Hospital Comarcal de Vic.</p>
<p style=""text-align: left;"">En la incidència han treballat tres patrulles dels Mossos d’Esquadra, tres dotacions dels Bombers de la Generalitat i dues ambulàncies del SEM.</p>
<p style=""text-align: left;"">22 de desembre</p>
<p style=""text-align: left;"">21.00 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20141222_acc_n_340
5," Dilluns, 15 de desembre de 2014", 14.23 ," N-340, al punt quilomètric 1.172,4 a Tarragona (Tarragonès)",15/12/2014,17:43,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Dilluns, 15 de desembre de 2014</strong><br/><strong>HORA D'AVÍS: 14.23 h</strong><br/><strong>VIA: N-340, al punt quilomètric 1.172,4 a Tarragona (Tarragonès)</strong></p>
<p style=""text-align: left;"">El Servei Català de Trànsit (SCT) informa que aquest migdia s'ha registrat un accident mortal de trànsit al punt quilomètric 1.172,4 de la N-340 a Tarragona (Tarragonès) en sentit Barcelona.</p>
<p style=""text-align: left;"">Els Mossos d’Esquadra han rebut l’avís de l’accident a les 14.23 h. Per causes que encara s’estan investigant, dos turismes han col·lidit frontalment. A conseqüència d’això, ha mort la copilot d’un dels turismes, Maria Patrocinio L.M., de 66 anys i veïna de Sant Cugat del Vallès. Quant als conductors dels dos cotxes un ha resultat ferit greu i ha estat traslladat a l’Hospital Joan XXIII i l’altre ha resultat ferit lleu i ha estat evacuat a l’Hospital Santa Tecla.</p>
<p style=""text-align: left;"">En la incidència han treballat cinc patrulles dels Mossos d'Esquadra, quatre dotacions dels Bombers de la Generalitat i tres ambulàncies del SEM.</p>
<p style=""text-align: left;"">A conseqüència de l'accident la via s'ha tallat en sentit Barcelona i s'han fet desviaments per la N-340a. La circulació s'ha normalitzat a les 16.54 h.</p>
<p style=""text-align: left;"">15 de desembre<br/>17.48 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20141215_acc_N340_01
6," Dissabte, 13 de desembre de 2014", 6.48 ," N-240, al punt quilomètric 37 a Montblanc (Conca de Barberà)",13/12/2014,13:17,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Dissabte, 13 de desembre de 2014</strong></p>
<p style=""text-align: left;""><strong>HORA D'AVÍS: 6.48 h </strong></p>
<p style=""text-align: left;""><strong>VIA: N-240, al punt quilomètric 37 a Montblanc (Conca de Barberà)</strong></p>
<p style=""text-align: left;"">El Servei Català de Trànsit (SCT) informa que aquest matí s’ha registrat un accident mortal de trànsit al punt quilomètric 37 de la N-240 a Montblanc (Conca de Barberà).</p>
<p style=""text-align: left;"">Els Mossos d’Esquadra han rebut l’avís de l’accident a les 6.48 h. Per causes que encara s’estan investigant, un camió ha envestit a un turisme. A conseqüència d’això, el conductor del turisme ha mort mentre que els dos ocupants del camió han resultat il·lesos. La persona finada és Gabriel E.F, de 56 anys d’edat, nacionalitat espanyola i veí d’Argençola.</p>
<p style=""text-align: left;"">En la incidència han treballat quatre patrulles dels Mossos d’Esquadra, quatre dotacions dels Bombers de la Generalitat, i tres ambulàncies del SEM.</p>
<p style=""text-align: left;"">13 de desembre</p>
<p style=""text-align: left;"">11.30 h</p>
<p style=""text-align: left;""> </p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20141213_acc_n_240
7," Divendres, 12 de desembre de 2014", 21.42 ," A-2, al punt quilomètric 19,7 a L’Hospitalet de Llobregat (Barcelonès). Enllaç amb el punt quilomètric 20 de la B-10",13/12/2014,13:14,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Divendres, 12 de desembre de 2014</strong></p>
<p style=""text-align: left;""><strong>HORA D'AVÍS: 21.42 h </strong></p>
<p style=""text-align: left;""><strong>VIA: A-2, al punt quilomètric 19,7 a L’Hospitalet de Llobregat (Barcelonès). Enllaç amb el punt quilomètric 20 de la B-10</strong></p>
<p style=""text-align: left;"">El Servei Català de Trànsit (SCT) informa que ahir a la nit es va registrar un accident mortal de trànsit al punt quilomètric 19,7 de l’A-2 a L’Hospitalet de Llobregat (Barcelonès).</p>
<p style=""text-align: left;"">Els Mossos d’Esquadra van rebre l’avís de l’accident a les 21.42 h. Per causes que encara s’estan investigant, una motocicleta va sortir de la via i es va accidentar. A conseqüència d’això, el conductor de la motocicleta va resultar ferit crític i els efectius del Sistema d’Emergències Mèdiques (SEM) el van traslladar a l’hospital de Bellvitge, on posteriorment va morir. Es tracta de Juan H.D, de 48 anys, nacionalitat espanyola i veí de Granollers.</p>
<p style=""text-align: left;"">En la incidència van treballar quatre patrulles dels Mossos d’Esquadra, dotacions dels Bombers de la Generalitat, i dues ambulàncies del SEM.</p>
<p style=""text-align: left;"">13 de desembre</p>
<p style=""text-align: left;"">11.30 h </p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20141212_acc_a_2
8," Dimarts, 9 de desembre de 2014", 12.36 ," C-66, al punt quilomètric 44 a Porqueres (Pla de l’Estany)",09/12/2014,14:31,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Dimarts, 9 de desembre de 2014</strong></p>
<p style=""text-align: left;""><strong>HORA D'AVÍS: 12.36 h </strong></p>
<p style=""text-align: left;""><strong>VIA: C-66, al punt quilomètric 44 a Porqueres (Pla de l’Estany)</strong></p>
<p style=""text-align: left;"">El Servei Català de Trànsit (SCT) informa que aquest migdia s’ha registrat un accident mortal de trànsit al punt quilomètric 44 de la C-66 a Porqueres (El Pla de l’Estany, Girona). Els Mossos d’Esquadra han rebut l’avís de l’accident a les 12.36 h. </p>
<p style=""text-align: left;"">Per causes que encara s’estan investigant, un tràiler i un turisme han topat frontalment. Com a conseqüència de la col·lisió ha mort el conductor del turisme, Rachid B., de 37 anys d’edat, nacionalitat marroquina i veí de Figueres. A més, hi ha hagut un ferit ‘menys greu’ que ha estat traslladat a l’hospital Josep Trueta de Girona. </p>
<p style=""text-align: left;"">En la incidència han treballat cinc patrulles dels Mossos d’Esquadra, dues dotacions dels Bombers de la Generalitat, dues ambulàncies del SEM i també efectius de la policia local de Banyoles.  La via ha estat tallada en ambdós sentits de la marxa i s’han fet desviaments per l’interior de Banyoles fins a les 15.30 h.  </p>
<p style=""text-align: left;"">9 de desembre</p>
<p style=""text-align: left;"">19.30 h</p>
<p style=""text-align: left;""> </p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20141209_acc_c_66
9," Dilluns, 8 de desembre de 2014", 20.33 ," AP-7, al punt quilomètric 282,4 a Vandellòs i l’Hospitalet de l’Infant (Baix Camp)",09/12/2014,09:44,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Dilluns, 8 de desembre de 2014</strong></p>
<p style=""text-align: left;""><strong>HORA D'AVÍS: 20.33 h </strong></p>
<p style=""text-align: left;""><strong>VIA: AP-7, al punt quilomètric 282,4 a Vandellòs i l’Hospitalet de l’Infant (Baix Camp)</strong></p>
<p style=""text-align: left;""> </p>
<p style=""text-align: left;"">El Servei Català de Trànsit (SCT) informa que ahir al vespre es va registrar un accident mortal de trànsit al punt quilomètric 282,4 de l’AP-7 a Vandellòs i l’Hospitalet de l’Infant  (Baix Camp) en sentit nord.</p>
<p style=""text-align: left;"">Els Mossos d’Esquadra van rebre l’avís de l’accident a les 20.33 h. Per causes que encara s’estan investigant, una autocaravana va bolcar i va caure per un talús d’uns 10 metres d’alçada. Com a conseqüència del sinistre, la passatgera davantera va resultar ferida crítica i va ser trasllada per efectius del Sistema d’Emergències Mèdiques (SEM) a l’hospital Joan XXIII, on posteriorment va morir. Es tracta d’una dona de nacionalitat sueca de 60 anys. A més, el conductor va resultar ferit de caràcter menys greu.</p>
<p style=""text-align: left;""> </p>
<p style=""text-align: left;"">A l’accident  van treballar 3 patrulles dels Mossos d’Esquadra, 3 dotacions dels Bombers de la Generalitat i 3 ambulàncies del SEM.</p>
<p style=""text-align: left;"">9 de desembre</p>
<p style=""text-align: left;"">08.30 h</p>
<p style=""text-align: left;""> </p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20141209_acc_ap_7
10," Dissabte, 6 de desembre de 2014", 10.39 ," C-55, al punt quilomètric 6, a Olesa de Montserrat (Baix Llobregat)",06/12/2014,12:20,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Dissabte, 6 de desembre de 2014<br/></strong><strong>HORA D'AVÍS: 10.39 h <br/></strong><strong>VIA: C-55, al punt quilomètric 6, a Olesa de Montserrat (Baix Llobregat)</strong></p>
<p style=""text-align: left;"">El Servei Català de Trànsit (SCT) informa que aquest matí s’ha registrat un accident mortal de trànsit al punt quilomètric 6 de la C-55 a Olesa de Montserrat (Baix Llobregat) en direcció Manresa.</p>
<p style=""text-align: left;"">Els Mossos d’Esquadra han rebut l’avís de la incidència a les 10.39 h. Per causes que encara s’estan investigant, un  turisme ha sortit de la via. A conseqüència d’això, ha mort la conductora i única ocupant del vehicle, Lídia Maria G.B., de 46 anys i veïna d'Abrera.</p>
<p style=""text-align: left;"">A l’accident han treballat sis patrulles dels Mossos d’Esquadra, tres dotacions dels Bombers de la Generalitat i dues ambulàncies del SEM.</p>
<p style=""text-align: left;"">Quant a l’afectació viària, a conseqüència del xoc s’ha hagut de tallar la via en ambdós sentits de la marxa i a les 10.30h s’ha habilitat pas alternatiu.</p>
<p style=""text-align: left;"">06/12/2014<br/>12.05 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20141206_acc_c_55_01
11," Dimarts, 2 de desembre de 2014", 11.03 ," L-311, al punt quilomètric 4’8, a Tarroja de Segarra (Segarra)",02/12/2014,13:21,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Dimarts, 2 de desembre de 2014</strong></p>
<p style=""text-align: left;""><strong>HORA D'AVÍS: 11.03 h</strong></p>
<p style=""text-align: left;""><strong>VIA: L-311, al punt quilomètric 4’8, a Tarroja de Segarra (Segarra)</strong></p>
<p style=""text-align: left;"">  El Servei Català de Trànsit (SCT) informa que aquest matí s’ha registrat un accident mortal de trànsit al punt quilomètric 4’8 de la L-311 a Tarroja de Segarra (Segarra). </p>
<p style=""text-align: left;"">Els Mossos d’Esquadra han rebut l’avís de la incidència a les 11.01 h. Per causes que encara s’estan investigant, un  turisme ha sortit de la via. A conseqüència d’això, ha mort el conductor i únic ocupant del vehicle, M.C.M, de 56 anys i veí de Cervera. </p>
<p style=""text-align: left;"">A l’accident han treballat cinc patrulles dels Mossos d’Esquadra, una dotació dels Bombers de la Generalitat i una ambulància i l’helicòpter medicalitzat del SEM. </p>
<p style=""text-align: left;"">02/12/2014</p>
<p style=""text-align: left;"">13.14 h</p>
<p style=""text-align: left;""> </p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20141202-accmortal-L311
12," Dijous, 27 de novembre de 2014", 20.49 ," C-14, al punt quilomètric 24, a Alcover (Alt Camp)",28/11/2014,08:39,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Dijous, 27 de novembre de 2014</strong></p>
<p style=""text-align: left;""><strong>HORA D'AVÍS: 20.49 h</strong></p>
<p style=""text-align: left;""><strong>VIA: C-14, al punt quilomètric 24, a Alcover (Alt Camp)</strong></p>
<p style=""text-align: left;"">El Servei Català de Trànsit (SCT) informa que ahir al vespre es va registrar un accident mortal de trànsit al punt quilomètric 24 de la C-14 a Alcover (Alt Camp).</p>
<p style=""text-align: left;"">Els Mossos d'Esquadra van rebre l'avís de la incidència a les 20.49 h. Per causes que encara s'estan investigant, dos turismes van col·lidir frontalment. A conseqüència d'això, va morir la conductora d'un dels vehicles. Es tracta d'Estefania V.H., de 23 anys, nacionalitat espanyola i veïna de Valls. A més, dues persones més que viatjaven a l'altre vehicle van resultar ferides lleus i els efectius del Sistema d'Emergències Mèdiques (SEM) les van traslladar a l'hospital Pius de Valls.</p>
<p style=""text-align: left;"">Quant als efectius, hi van treballar quatre patrulles dels Mossos d'Esquadra, sis dotacions dels Bombers de la Generalitat i tres ambulàncies del SEM.</p>
<p style=""text-align: left;"">Pel que fa a l'afectació viària, entre les 21.02 i les 22.11 h la C-14 va estar tallada a l'altura d'Alcover en tots dos sentits. Es van fer desviaments per la N-240 en sentit sud i també per la C-37 en sentit nord.</p>
<p style=""text-align: left;"">28/11/2014</p>
<p style=""text-align: left;"">08.15 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20141127_acc_c_14
13," Dijous, 27 de novembre de 2014", 14.45 , Pista forestal al municipi del Brull (Osona),27/11/2014,19:26,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Dijous, 27 de novembre de 2014</strong></p>
<p style=""text-align: left;""><strong>HORA D'AVÍS: 14.45 h </strong></p>
<p style=""text-align: left;""><strong>VIA: Pista forestal al municipi del Brull (Osona)</strong></p>
<p style=""text-align: left;"">El Servei Català de Trànsit (SCT) informa que aquesta tarda s’ha registrat un accident mortal de trànsit a una pista forestal del municipi del Brull (Osona, Barcelona). Els Mossos d’Esquadra han rebut l’avís de la incidència a les 14.45 h.</p>
<p style=""text-align: left;"">Per causes que encara s’estan investigant, un turisme ha sortit de la via i ha bolcat. Com a conseqüència del sinistre, ha mort el conductor i únic ocupant del vehicle Josep B.P. de 68 anys i veí del Brull.</p>
<p style=""text-align: left;"">Quant als efectius, hi han treballat tres patrulles dels Mossos d’Esquadra, tres dotacions dels Bombers de la Generalitat i una ambulància i un helicòpter medicalitzat del SEM.</p>
<p style=""text-align: left;"">27/11/2014</p>
<p style=""text-align: left;"">19.05 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20141127_pistaforestal
14," Dimarts, 25 de novembre de 2014",  17.42 ," C-16, al punt quilomètric 76 a Puig-Reig (El Berguedà)",25/11/2014,20:17,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Dimarts, 25 de novembre de 2014</strong></p>
<p style=""text-align: left;""><strong>HORA D'AVÍS:  17.42 h </strong></p>
<p style=""text-align: left;""><strong>VIA: C-16, al punt quilomètric 76 a Puig-Reig (El Berguedà)</strong></p>
<p style=""text-align: left;""> </p>
<p style=""text-align: left;"">El Servei Català de Trànsit (SCT) informa que aquesta tarda s’ha registrat un accident mortal de trànsit al punt quilomètric 76 a la C-16 l’altura Puig-Reig (El Berguedà, Barcelona). Els Mossos d’Esquadra han rebut l’avís de la incidència a les 17.42 h. </p>
<p style=""text-align: left;"">Per causes que encara s’estan investigant, un turisme ha sortit de la via, ha sobrepassat la tanca i ha acabat topant amb el talús. Com a conseqüència del sinistre, ha mort el conductor i únic ocupant del vehicle, un home de 32 anys de nacionalitat xinesa i veí de Mollet del Vallès. </p>
<p style=""text-align: left;"">Quant als efectius, hi han treballat quatre patrulles dels Mossos d’Esquadra, quatre dotacions dels Bombers de la Generalitat i dues ambulàncies del SEM. Pel que fa a l’afectació viària, s’ha hagut de tallar un carril en sentit Berga mentre els efectius treballaven per excarcerar el finat i retirar el vehicle. </p>
<p style=""text-align: left;""> </p>
<p style=""text-align: left;"">25 de novembre</p>
<p style=""text-align: left;"">20.10 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20141125_c_16
15," Dimecres, 19 de novembre de 2014",  18.20 ," A-2, al punt quilomètric 530 a Ribera d’Ondara (La Segarra)",19/11/2014,20:11,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Dimecres, 19 de novembre de 2014</strong></p>
<p style=""text-align: left;""><strong>HORA D'AVÍS:  18.20 h </strong></p>
<p style=""text-align: left;""><strong>VIA: A-2, al punt quilomètric 530 a Ribera d’Ondara (La Segarra)</strong></p>
<p style=""text-align: left;"">El Servei Català de Trànsit (SCT) informa que aquesta tarda s’ha registrat un accident mortal de trànsit al punt quilomètric 530 de l’A-2 l’altura de la Ribera d’Ondara (La Segarra, Lleida). Els Mossos d’Esquadra han rebut l’avís de la incidència a les 18.20 h.</p>
<p style=""text-align: left;"">Per causes que encara s’estan investigant un turisme que circulava en sentit Barcelona ha patit l’impacte de la roda d’un camió que circulava en la mateixa direcció, i ha saltat la mitjana. El conductor i únic ocupant del turisme sinistrat ha mort. Es tracta de Josep B. E., de 71 anys i veí de Vilafranca del Penedès.</p>
<p style=""text-align: left;"">Quant als efectius, hi han treballat 7 patrulles dels Mossos d’Esquadra, 3 dotacions dels Bombers de la Generalitat i 3 ambulàncies del SEM.</p>
<p style=""text-align: left;"">Pel que fa a l’afectació viària, la via ha estat tallada en ambdós sentits de la marxa i s'han fet desviaments, per la sortida anterior a l’accident. La circulació s'ha normalitzat a les 20.25 h.</p>
<p style=""text-align: left;"">19 de novembre</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20141119_a_2
16," Dimarts, 18 de novembre de 2014",  18.15 ," N-II, al punt quilomètric  637,3 a Premià de Mar (Maresme)",18/11/2014,20:12,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Dimarts, 18 de novembre de 2014</strong></p>
<p style=""text-align: left;""><strong>HORA D'AVÍS:  18.15 h </strong></p>
<p style=""text-align: left;""><strong>VIA: N-II, al punt quilomètric  637,3 a Premià de Mar (Maresme)</strong></p>
<p style=""text-align: left;"">El Servei Català de Trànsit (SCT) informa que aquesta tarda s’ha registrat un accident mortal de trànsit al punt quilomètric  637,3 de l’N-II a l’altura de Premià de Mar (Maresme). Els Mossos d’Esquadra han rebut l’avís de la incidència a les 18.15 h.</p>
<p style=""text-align: left;"">Per causes que encara s’estan investigant el conductor  d’una motocicleta ha caigut a la via i ha resultat ferit crític Efectius del Sistema d’Emergències Mèdiques (SEM) l’han traslladat a l’hospital Germans Trias i Pujol de Badalona on ha mort aquest vespre. Es tracta de Francisco V.V., de 57 anys i veí de Montgat.</p>
<p style=""text-align: left;"">Quant als efectius, hi han treballat tres patrulles dels Mossos d’Esquadra i 2 ambulàncies del SEM.</p>
<p style=""text-align: left;"">Pel que fa a l’afectació viària, l’accident  ha causat restriccions de trànsit en els dos sentits de la marxa. A les 17.25 h, la circulació ha quedat normalitzada.</p>
<p style=""text-align: left;"">18 de novembre</p>
<p style=""text-align: left;"">19.37 h </p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20141118_acc_n_2
17," Dimarts, 18 de novembre de 2014",  05.32 ," AP-7, al punt quilomètric 194,5 a Vilafranca del Penedès (Alt Penedès)",18/11/2014,08:27,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Dimarts, 18 de novembre de 2014</strong></p>
<p style=""text-align: left;""><strong>HORA D'AVÍS:  05.32 h </strong></p>
<p style=""text-align: left;""><strong>VIA: AP-7, al punt quilomètric 194,5 a Vilafranca del Penedès (Alt Penedès)</strong></p>
<p style=""text-align: left;""> </p>
<p style=""text-align: left;"">El Servei Català de Trànsit (SCT) informa que aquesta matinada s’ha registrat un accident mortal de trànsit al punt quilomètric 194,5 de l’AP-7 a l’altura de Vilafranca del Penedès (Alt Penedès, Barcelona) en sentit Tarragona. Els Mossos d’Esquadra han rebut l’avís de la incidència a les 05.32 h.</p>
<p style=""text-align: left;""> </p>
<p style=""text-align: left;"">Per causes que encara s’estan investigant, un vianant ha accedit a l’autopista i ha estat atropellat per un camió que se l’ha trobat de sobte. Com a conseqüència del sinistre ha mort el vianant, un home de 50 anys d’edat i de nacionalitat espanyola, Manuel S.Y.</p>
<p style=""text-align: left;""> </p>
<p style=""text-align: left;"">Quant als efectius, hi han treballat 4 patrulles dels Mossos d’Esquadra i 2 ambulàncies del Sistema d’Emergències Mèdiques.</p>
<p style=""text-align: left;""> </p>
<p style=""text-align: left;"">Pel que fa a l’afectació viària, en aquests moments encara hi ha un carril de l’autopista restringit en sentit sud.</p>
<p style=""text-align: left;""> </p>
<p style=""text-align: left;""> </p>
<p style=""text-align: left;"">18 de novembre</p>
<p style=""text-align: left;"">08.20 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20141118_ap_7
18," Dijous, 13 de novembre de 2014",  14.40 ," AP-7, al punt quilomètric 173 a Castellví de Rosanes (Baix Llobregat)",13/11/2014,18:16,"[<div class=""basic_text_peq pd-15 link-dotted""><p style=""text-align: left;""><strong>DIA: Dijous, 13 de novembre de 2014</strong></p>
<p style=""text-align: left;""><strong>HORA D'AVÍS:  14.40 h </strong></p>
